"","source_df","sample_id","sci_name","sample_info","common_name","sampling_location","sample_origin","prep_form","body_part","ref_id","data_processing_comments","Nutrient","Value","Nutrient_Name","Unit_converted","body_part_2","outlier_calcium","outlier_calcium2","outlier_iron","outlier_iron2","outlier_selenium","outlier_selenium2","outlier_dha","outlier_dha2","outlier_epa","outlier_epa2","outlier_pufa","outlier_pufa2","outlier_protein1","outlier_protein2","outlier_zinc","outlier_zinc1","outlier_vitA","outlier_vitA2"
"14","uFish","091016","Esox lucius","Northern pike, wild, fillet w/o skin, raw (North America)",NA,NA,"Wild","r","muscle_skinless","fi004, SR27-15062, CAN-3036, 091015, 091016, dAA",NA,"CA(mg)",28,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"15","uFish","091017","Ictalurus punctatus","Catfish, channel, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi120, fi014, fi289, fi290, fi291, fi365, fi366, fi465, SR27-15010/15234",NA,"CA(mg)",19.7875,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"16","uFish","091020","Ictalurus punctatus","Catfish, channel, wild, fillet, raw (USA)",NA,NA,"Wild","r","muscle","fi120, fi365, fi359, SR27-15010/15234, fi465, 091017",NA,"CA(mg)",20.5,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"17","uFish","091024","Pangasius hypophthalmus","Striped catfish, whole, raw (ASEAN/Bangladesh)",NA,NA,NA,"r","whole","fi333, fi362, fi367, fi464, 091021, dAA",NA,"CA(mg)",16.3,"Calcium (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"18","uFish","091025","Pangasius hypophthalmus","Striped catfish, tail part, raw (Bangladesh)",NA,NA,NA,"r","muscle","fi463, fi466, fi367, 091021, 091024, dAA",NA,"CA(mg)",16.3,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"19","uFish","091026","Salmo salar","Atlantic salmon, fillet w/o skin, raw (n.s.)",NA,NA,NA,"r","muscle_skinless","fi005, fi045, fi074, fi105, fi243, fi244, fi268, fi361, fi443, fi444, fi446, NIFES-Atlantic salmon - farmed (Salmo salar), SR27-15236/15076, UK7-16-360/16-356, DTU-1658/30, USY-2230",NA,"CA(mg)",12.55,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"20","uFish","091032","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (n.s.)",NA,NA,"Wild","r","muscle_skinless","fi074, fi105, fi443, fi444, SR27-15076, DTU-30, UK7-16-360, 091026",NA,"CA(mg)",15.6666666666667,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"21","uFish","091033","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (Northeast Atlantic)",NA,NA,"Wild","r","muscle_skinless","fi074, fi105, fi443, DTU-30, UK7-16-360, 091026, 091032",NA,"CA(mg)",17.5,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"22","uFish","091034","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (Northwest Atlantic)",NA,NA,"Wild","r","muscle_skinless","fi444, SR27-15076, 091026, 091032",NA,"CA(mg)",12,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"23","uFish","091035","Oncorhynchus mykiss","Rainbow trout, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi018, fi055, fi074, fi099, fi105, fi119, fi120, fi122, fi141, fi154, fi180, fi195, fi244, fi269, fi361, fi438, fi440, fi441, SR27-15240/15115, DK7-0886, NIFES-Rainbow trout - farmed (Onocorhynchus mykiss), CAN-3205/3186, CH02-121130, NZ13-K50, USY-2565, fi472",NA,"CA(mg)",28.603,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"24","uFish","091041","Oncorhynchus mykiss","Rainbow trout, wild, fillet, raw",NA,NA,"Wild","r","muscle","fi120, fi195, fi141, fi438, SR27-15115, CAN-3205, 091035",NA,"CA(mg)",28.603,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"25","uFish","091042","Solea solea","Common sole, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi055, fi066, fi080, fi045, fi092, fi275, fi276, fi244, DTU-595, dAA",NA,"CA(mg)",51.3,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"26","uFish","091043","Solea solea","Common sole, wild, fillet, raw",NA,NA,"Wild","r","muscle","fi055, fi066, fi080, fi244, fi275, 091042, dAA",NA,"CA(mg)",22.5,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"27","uFish","091044","Gadus morhua","Atlantic cod, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi045, fi074, fi105, fi122, fi146, fi290, fi243, fi244, fi266, fi361, fi365, fi366, fi437, fi439, fi440, fi441, fi446, NIFES-Cod - wild/farmed - fillet (Gadus morhua), SR27-15015, DTU-72, FAO89",NA,"CA(mg)",11.6148148148148,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"28","uFish","091045","Gadus morhua","Atlantic cod, fillet, raw (Northwest Atlantic)",NA,NA,NA,"r","muscle","fi290, fi365, fi366, SR27-15015, 091044",NA,"CA(mg)",29,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"29","uFish","091046","Gadus morhua","Atlantic cod, fillet, raw (Northeast Atlantic)",NA,NA,NA,"r","muscle","fi074, fi105, fi122, fi146, fi243, fi244, fi266, fi361, fi365, fi366, fi437, fi439, fi440, fi441, NIFES-Cod - farmed/wild - fillet (Gadus morhua), DTU-72, 091044",NA,"CA(mg)",10.224,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"30","uFish","091047","Gadus morhua","Atlantic cod, wild, fillet, raw (Northeast Atlantic)",NA,NA,"Wild","r","muscle","fi074, fi105, fi122, fi146, fi244, fi266, fi243, fi439, fi440, fi441, NIFES-Cod - wild - fillet (Gadus morhua), 091044",NA,"CA(mg)",8.97647058823529,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"31","uFish","091048","Gadus morhua","Atlantic cod, wild, fillet w/o skin, raw (Northeast Atlantic)",NA,NA,"Wild","r","muscle_skinless","fi074, fi105, fi122, fi146, fi243, fi244, fi266, fi440, fi441, 091044, 091047",NA,"CA(mg)",8.68571428571429,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"32","uFish","091049","Gadus morhua","Atlantic cod, wild, fillet w/o skin, raw (treated)",NA,NA,"Wild","r","muscle_skinless","fi243, 091044, 091047",NA,"CA(mg)",12,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"33","uFish","091052","Gadus macrocephalus","Pacific cod, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi030, fi125, fi156, fi195, fi290, SR27-15268/15019, CAN-3196, USY-889",NA,"CA(mg)",13.28,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"34","uFish","091053","Gadus macrocephalus","Pacific cod, wild, fillet, raw (Northeast Pacific)",NA,NA,"Wild","r","muscle","fi030, fi125, fi156, fi195, fi290, 091052",NA,"CA(mg)",11.8,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"35","uFish","091054","Gadus macrocephalus","Pacific cod, fillet, raw (not previously frozen)",NA,NA,NA,"r","muscle","SR27-15268, 091052",NA,"CA(mg)",23,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"36","uFish","091055","Gadus macrocephalus","Pacific cod, fillet, raw (may have been previously frozen)",NA,NA,NA,"r","muscle","SR27-15019, 091052",NA,"CA(mg)",8,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"37","uFish","091056","Dicentrarchus labrax","European sea bass, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi009, fi034, fi045, fi048, fi070, fi080, fi136, fi244, fi266, fi269, fi471, dAA",NA,"CA(mg)",23.3083333333333,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"38","uFish","091057","Dicentrarchus labrax","European sea bass, wild, fillet, raw",NA,NA,"Wild","r","muscle","fi048, fi070, fi080, fi244, 091056, dAA",NA,"CA(mg)",13.3,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"39","uFish","091059","Trachurus trachurus","Atlantic horse mackerel, wild, fillet w/o skin, raw (n.s.)",NA,NA,"Wild","r","muscle_skinless","fi003, fi055, fi072, fi073, fi080, fi082, fi089, fi105, fi131, fi173, fi244, NIFES-Horse mackerel (Trachurus trachurus), dAA",NA,"CA(mg)",39.55,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"40","uFish","091060","Trachurus trachurus","Atlantic horse mackerel, wild, fatty, fillet w/o skin, raw",NA,NA,"Wild","r","muscle_skinless","fi003, fi055, fi072, fi089, fi105, fi131, fi244, NIFES-Horse mackerel (Trachurus trachurus), 091059, dAA",NA,"CA(mg)",30.55,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"41","uFish","091061","Trachurus trachurus","Atlantic horse mackerel, atlantic, wild, lean, fillet w/o skin, raw",NA,NA,"Wild","r","muscle_skinless","fi072, fi073, fi080, fi082, fi089, fi105, fi173, fi244, 091059, dAA",NA,"CA(mg)",20.1,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"42","uFish","091001","Oreochromis niloticus","Nile tilapia, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi002, fi015, fi017, fi023, fi028, fi074, fi100, fi118, fi157, fi277, fi435, fi244, fi266, fi333, fi435, fi465, fi445, UK7-16-154, CIQ12-Nile tilapia, CRY-Tilapia, SR27-15261, WF",NA,"FE(mg)",0.787142857142857,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"43","uFish","091004","Oreochromis niloticus","Nile tilapia, dressed w/ head, raw (Bangladesh)",NA,NA,NA,"r","whole","fi333, fi367, fi467, 091001, AF2-AAG15, SR27-15261",NA,"FE(mg)",0.953333333333333,"Iron (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"44","uFish","091005","Oreochromis niloticus","Nile tilapia, wild, fillet w/ bones, raw (Africa)",NA,NA,"Wild","r","muscle","fi023, fi028, fi038, fi100, fi118, fi278, fi445, 091001, SR27-15261",NA,"FE(mg)",3,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"45","uFish","091006","Oreochromis niloticus","Nile tilapia, wild, dorsal muscle w/o skin, raw",NA,NA,NA,"r","muscle","fi100, fi333, 091001, SR27-15261",NA,"FE(mg)",0.13,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"46","uFish","091007","Clarias spp","Torpedo-shaped catfishes, raw",NA,NA,NA,"r","whole","fi001, fi002, fi023, fi028, ffi033, i034, fi038, fi046, fi097, fi103, fi118, fi196, fi278, fi280, fi282, fi287, fi288, fi291, fi297, fi298, fi329, fi327, fi355, AF1-AAG24, S1-Catfishes, air-breathing (Clariidae spp), S2-Catfishes, air-breathing (Clariidae spp), S3-Catfishes, air-breathing (Clariidae), S4-Catfishes, air-breathing (Clariidae spp), P6-090383, AF2-AAG22, BD13-09_0070, CH02-121105, FAOY-Catfish fillet, dAA, 091017, 091021",NA,"FE(mg)",0.708076923076923,"Iron (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"47","uFish","091008","Clarias batrachus","Philippine catfish, whole, raw",NA,NA,NA,"r","whole","fi003, fi103, fi199, fi297, fi298, fi329, fi327, fi355, fi367, AF2-AAG22, BD13-09_0070, 091007, dAA, 091017, 091021",NA,"FE(mg)",0.826,"Iron (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"48","uFish","091009","Clarias gariepinus","North African catfish, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi001, fi023, fi028, fi034, fi038, fi097, fi118, fi196, fi278, fi280, fi282, fi292, 091007, dAA, 091017, 091021",NA,"FE(mg)",0.542,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"49","uFish","091010","Clarias gariepinus","North African catfish, wild, fillet w/ bones, raw",NA,NA,NA,"r","muscle","fi023, fi028, fi038, fi118, fi196, fi278, 091007, 091009",NA,"FE(mg)",3,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"50","uFish","091011","Clarias gariepinus","North African catfish, wild, fillet, raw",NA,NA,NA,"r","muscle","fi023, fi028, fi038, fi118, fi196, fi278, 091007, 091009",NA,"FE(mg)",0.542,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"51","uFish","091012","Clarias macrocephalus","Bighead catfish, fillet, raw (ASEAN)",NA,NA,NA,"r","muscle","fi002, fi046, fi287, fi288, fi291, AF1-AAG24, 091007, 091017, 091021",NA,"FE(mg)",0.544333333333333,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"52","uFish","091013","Clarias macrocephalus","Bighead catfish, fillet w/ skin, raw (ASEAN)",NA,NA,NA,"r","muscle","fi002, fi288, fi291, AF-AAG24, 091007, 091013",NA,"FE(mg)",0.544333333333333,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"53","uFish","091014","Esox lucius","Northern pike, fillet w/o skin, raw (n.s.)",NA,NA,NA,"r","muscle_skinless","fi004, fi026, fi110, fi122, fi202, fi105, fi110, fi283, fi284, fi285, fi286, CAN-3036, SR27-15062, DTU-611, SWE-1262, SFK6-Pike, USY-1830, dAA",NA,"FE(mg)",0.187955,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"54","uFish","091015","Esox lucius","Northern pike, wild, fillet w/o skin, raw (Europe)",NA,NA,"Wild","r","muscle_skinless","fi026, fi110, fi122, fi202, fi283, fi284, fi285, fi286, DTU-611, SWE-1262, 091015, dAA",NA,"FE(mg)",0.145357857142857,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"55","uFish","091016","Esox lucius","Northern pike, wild, fillet w/o skin, raw (North America)",NA,NA,"Wild","r","muscle_skinless","fi004, SR27-15062, CAN-3036, 091015, 091016, dAA",NA,"FE(mg)",0.2625,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"56","uFish","091017","Ictalurus punctatus","Catfish, channel, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi120, fi014, fi289, fi290, fi291, fi365, fi366, fi465, SR27-15010/15234",NA,"FE(mg)",0.848333333333334,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"57","uFish","091020","Ictalurus punctatus","Catfish, channel, wild, fillet, raw (USA)",NA,NA,"Wild","r","muscle","fi120, fi365, fi359, SR27-15010/15234, fi465, 091017",NA,"FE(mg)",0.3,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"58","uFish","091024","Pangasius hypophthalmus","Striped catfish, whole, raw (ASEAN/Bangladesh)",NA,NA,NA,"r","whole","fi333, fi362, fi367, fi464, 091021, dAA",NA,"FE(mg)",0.78,"Iron (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"59","uFish","091025","Pangasius hypophthalmus","Striped catfish, tail part, raw (Bangladesh)",NA,NA,NA,"r","muscle","fi463, fi466, fi367, 091021, 091024, dAA",NA,"FE(mg)",0.37,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"60","uFish","091026","Salmo salar","Atlantic salmon, fillet w/o skin, raw (n.s.)",NA,NA,NA,"r","muscle_skinless","fi005, fi045, fi074, fi105, fi243, fi244, fi268, fi361, fi443, fi444, fi446, NIFES-Atlantic salmon - farmed (Salmo salar), SR27-15236/15076, UK7-16-360/16-356, DTU-1658/30, USY-2230",NA,"FE(mg)",0.364933333333333,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"61","uFish","091032","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (n.s.)",NA,NA,"Wild","r","muscle_skinless","fi074, fi105, fi443, fi444, SR27-15076, DTU-30, UK7-16-360, 091026",NA,"FE(mg)",0.703333333333333,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"62","uFish","091033","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (Northeast Atlantic)",NA,NA,"Wild","r","muscle_skinless","fi074, fi105, fi443, DTU-30, UK7-16-360, 091026, 091032",NA,"FE(mg)",0.655,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"63","uFish","091034","Salmo salar","Atlantic salmon, wild, fillet w/o skin, raw (Northwest Atlantic)",NA,NA,"Wild","r","muscle_skinless","fi444, SR27-15076, 091026, 091032",NA,"FE(mg)",0.8,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"64","uFish","091035","Oncorhynchus mykiss","Rainbow trout, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi018, fi055, fi074, fi099, fi105, fi119, fi120, fi122, fi141, fi154, fi180, fi195, fi244, fi269, fi361, fi438, fi440, fi441, SR27-15240/15115, DK7-0886, NIFES-Rainbow trout - farmed (Onocorhynchus mykiss), CAN-3205/3186, CH02-121130, NZ13-K50, USY-2565, fi472",NA,"FE(mg)",0.69,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"65","uFish","091041","Oncorhynchus mykiss","Rainbow trout, wild, fillet, raw",NA,NA,"Wild","r","muscle","fi120, fi195, fi141, fi438, SR27-15115, CAN-3205, 091035",NA,"FE(mg)",0.7,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"66","uFish","091042","Solea solea","Common sole, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi055, fi066, fi080, fi045, fi092, fi275, fi276, fi244, DTU-595, dAA",NA,"FE(mg)",0.583333333333333,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"67","uFish","091043","Solea solea","Common sole, wild, fillet, raw",NA,NA,"Wild","r","muscle","fi055, fi066, fi080, fi244, fi275, 091042, dAA",NA,"FE(mg)",0.35,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"68","uFish","091044","Gadus morhua","Atlantic cod, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi045, fi074, fi105, fi122, fi146, fi290, fi243, fi244, fi266, fi361, fi365, fi366, fi437, fi439, fi440, fi441, fi446, NIFES-Cod - wild/farmed - fillet (Gadus morhua), SR27-15015, DTU-72, FAO89",NA,"FE(mg)",0.173809523809524,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"69","uFish","091045","Gadus morhua","Atlantic cod, fillet, raw (Northwest Atlantic)",NA,NA,NA,"r","muscle","fi290, fi365, fi366, SR27-15015, 091044",NA,"FE(mg)",0.38,"Iron (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
