"","source_df","sample_id","sci_name","sample_info","common_name","sampling_location","sample_origin","prep_form","body_part","ref_id","data_processing_comments","Nutrient","Value","Nutrient_Name","Unit_converted","body_part_2","outlier_calcium","outlier_calcium2","outlier_iron","outlier_iron2","outlier_selenium","outlier_selenium2","outlier_dha","outlier_dha2","outlier_epa","outlier_epa2","outlier_pufa","outlier_pufa2","outlier_protein1","outlier_protein2","outlier_zinc","outlier_zinc1","outlier_vitA","outlier_vitA2"
"1","uFish","091001","Oreochromis niloticus","Nile tilapia, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi002, fi015, fi017, fi023, fi028, fi074, fi100, fi118, fi157, fi277, fi435, fi244, fi266, fi333, fi435, fi465, fi445, UK7-16-154, CIQ12-Nile tilapia, CRY-Tilapia, SR27-15261, WF",NA,"CA(mg)",14.5666666666667,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"2","uFish","091004","Oreochromis niloticus","Nile tilapia, dressed w/ head, raw (Bangladesh)",NA,NA,NA,"r","whole","fi333, fi367, fi467, 091001, AF2-AAG15, SR27-15261",NA,"CA(mg)",107.5,"Calcium (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"3","uFish","091005","Oreochromis niloticus","Nile tilapia, wild, fillet w/ bones, raw (Africa)",NA,NA,"Wild","r","muscle","fi023, fi028, fi038, fi100, fi118, fi278, fi445, 091001, SR27-15261",NA,"CA(mg)",883,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"4","uFish","091006","Oreochromis niloticus","Nile tilapia, wild, dorsal muscle w/o skin, raw",NA,NA,NA,"r","muscle","fi100, fi333, 091001, SR27-15261",NA,"CA(mg)",14.5666666666667,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"5","uFish","091007","Clarias spp","Torpedo-shaped catfishes, raw",NA,NA,NA,"r","whole","fi001, fi002, fi023, fi028, ffi033, i034, fi038, fi046, fi097, fi103, fi118, fi196, fi278, fi280, fi282, fi287, fi288, fi291, fi297, fi298, fi329, fi327, fi355, AF1-AAG24, S1-Catfishes, air-breathing (Clariidae spp), S2-Catfishes, air-breathing (Clariidae spp), S3-Catfishes, air-breathing (Clariidae), S4-Catfishes, air-breathing (Clariidae spp), P6-090383, AF2-AAG22, BD13-09_0070, CH02-121105, FAOY-Catfish fillet, dAA, 091017, 091021",NA,"CA(mg)",23.4561111111111,"Calcium (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"6","uFish","091008","Clarias batrachus","Philippine catfish, whole, raw",NA,NA,NA,"r","whole","fi003, fi103, fi199, fi297, fi298, fi329, fi327, fi355, fi367, AF2-AAG22, BD13-09_0070, 091007, dAA, 091017, 091021",NA,"CA(mg)",58.688,"Calcium (mg)","mg/100g","whole","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"7","uFish","091009","Clarias gariepinus","North African catfish, fillet, raw (n.s.)",NA,NA,NA,"r","muscle","fi001, fi023, fi028, fi034, fi038, fi097, fi118, fi196, fi278, fi280, fi282, fi292, 091007, dAA, 091017, 091021",NA,"CA(mg)",23.4561111111111,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"8","uFish","091010","Clarias gariepinus","North African catfish, wild, fillet w/ bones, raw",NA,NA,NA,"r","muscle","fi023, fi028, fi038, fi118, fi196, fi278, 091007, 091009",NA,"CA(mg)",832,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"9","uFish","091011","Clarias gariepinus","North African catfish, wild, fillet, raw",NA,NA,NA,"r","muscle","fi023, fi028, fi038, fi118, fi196, fi278, 091007, 091009",NA,"CA(mg)",23.4561111111111,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"10","uFish","091012","Clarias macrocephalus","Bighead catfish, fillet, raw (ASEAN)",NA,NA,NA,"r","muscle","fi002, fi046, fi287, fi288, fi291, AF1-AAG24, 091007, 091017, 091021",NA,"CA(mg)",20,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"11","uFish","091013","Clarias macrocephalus","Bighead catfish, fillet w/ skin, raw (ASEAN)",NA,NA,NA,"r","muscle","fi002, fi288, fi291, AF-AAG24, 091007, 091013",NA,"CA(mg)",20,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"12","uFish","091014","Esox lucius","Northern pike, fillet w/o skin, raw (n.s.)",NA,NA,NA,"r","muscle_skinless","fi004, fi026, fi110, fi122, fi202, fi105, fi110, fi283, fi284, fi285, fi286, CAN-3036, SR27-15062, DTU-611, SWE-1262, SFK6-Pike, USY-1830, dAA",NA,"CA(mg)",26.932,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"13","uFish","091015","Esox lucius","Northern pike, wild, fillet w/o skin, raw (Europe)",NA,NA,"Wild","r","muscle_skinless","fi026, fi110, fi122, fi202, fi283, fi284, fi285, fi286, DTU-611, SWE-1262, 091015, dAA",NA,"CA(mg)",26.0776,"Calcium (mg)","mg/100g","muscle (with and without organs)","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
