"","sci_name","temperature","Family","Genus","Species","nutrient_data","ctmax_estimate","gl_fish"
"1","Abramis brama",7.5777748521881,"Leuciscidae","Abramis","brama","Y","Y",NA
"2","Abramis brama",10.113702906985,"Leuciscidae","Abramis","brama","Y","Y",NA
"3","Abramis brama",23.8482200369506,"Leuciscidae","Abramis","brama","Y","Y",NA
"4","Abramis brama",12.4222769778855,"Leuciscidae","Abramis","brama","Y","Y",NA
"5","Abramis brama",12.8735667705576,"Leuciscidae","Abramis","brama","Y","Y",NA
"6","Abramis brama",25.0486786663897,"Leuciscidae","Abramis","brama","Y","Y",NA
"7","Abramis brama",15.4197085668233,"Leuciscidae","Abramis","brama","Y","Y",NA
"8","Abramis brama",2.16818257468828,"Leuciscidae","Abramis","brama","Y","Y",NA
"9","Abramis brama",6.60748938842458,"Leuciscidae","Abramis","brama","Y","Y",NA
"10","Abramis brama",8.45927908392041,"Leuciscidae","Abramis","brama","Y","Y",NA
"11","Abramis brama",21.2790601629344,"Leuciscidae","Abramis","brama","Y","Y",NA
"12","Abramis brama",14.6434754766507,"Leuciscidae","Abramis","brama","Y","Y",NA
"13","Abramis brama",14.9579355617635,"Leuciscidae","Abramis","brama","Y","Y",NA
"14","Abramis brama",12.7307231331357,"Leuciscidae","Abramis","brama","Y","Y",NA
"15","Abramis brama",7.61335721387452,"Leuciscidae","Abramis","brama","Y","Y",NA
"16","Abramis brama",25.6003067489795,"Leuciscidae","Abramis","brama","Y","Y",NA
"17","Abramis brama",15.7032785933357,"Leuciscidae","Abramis","brama","Y","Y",NA
"18","Abramis brama",-3.21814885523854,"Leuciscidae","Abramis","brama","Y","Y",NA
"19","Abramis brama",17.2657308846739,"Leuciscidae","Abramis","brama","Y","Y",NA
"20","Abramis brama",8.25098757360088,"Leuciscidae","Abramis","brama","Y","Y",NA
"21","Abramis brama",3.68251189073435,"Leuciscidae","Abramis","brama","Y","Y",NA
"22","Abramis brama",10.2073905379244,"Leuciscidae","Abramis","brama","Y","Y",NA
"23","Abramis brama",4.0035873388131,"Leuciscidae","Abramis","brama","Y","Y",NA
"24","Abramis brama",6.28473160628382,"Leuciscidae","Abramis","brama","Y","Y",NA
"25","Abramis brama",7.08207514856461,"Leuciscidae","Abramis","brama","Y","Y",NA
"26","Abramis brama",-1.06897932825293,"Leuciscidae","Abramis","brama","Y","Y",NA
"27","Abramis brama",18.3132074009722,"Leuciscidae","Abramis","brama","Y","Y",NA
"28","Abramis brama",13.0584869595756,"Leuciscidae","Abramis","brama","Y","Y",NA
"29","Abramis brama",3.1426684451569,"Leuciscidae","Abramis","brama","Y","Y",NA
"30","Abramis brama",21.5073419766761,"Leuciscidae","Abramis","brama","Y","Y",NA
"31","Acanthemblemaria hancocki",27.372201335554,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"32","Acanthemblemaria hancocki",26.2767702614281,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"33","Acanthemblemaria hancocki",28.0837202541158,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"34","Acanthemblemaria hancocki",28.057922840673,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"35","Acanthemblemaria hancocki",27.9720653254442,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"36","Acanthemblemaria hancocki",27.7702353777334,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"37","Acanthemblemaria hancocki",27.5657003531613,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"38","Acanthemblemaria hancocki",26.6307519956072,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"39","Acanthemblemaria hancocki",26.2602353377216,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"40","Acanthemblemaria hancocki",26.1471172377798,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"41","Acanthemblemaria hancocki",25.6700461064736,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"42","Acanthemblemaria hancocki",26.4090872400287,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"43","Acanthemblemaria hancocki",24.8036290066687,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"44","Acanthemblemaria hancocki",30.0176415969455,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"45","Acanthemblemaria hancocki",28.558666459588,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"46","Acanthemblemaria hancocki",25.0196494225255,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"47","Acanthemblemaria hancocki",26.1130886922541,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"48","Acanthemblemaria hancocki",26.0162726830771,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"49","Acanthemblemaria hancocki",27.9088842256075,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"50","Acanthemblemaria hancocki",26.5981755696999,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"51","Acanthemblemaria hancocki",27.1093325860901,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"52","Acanthemblemaria hancocki",26.6814064656732,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"53","Acanthemblemaria hancocki",26.6596603093745,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"54","Acanthemblemaria hancocki",28.8025495545377,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"55","Acanthemblemaria hancocki",26.3819818507656,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"56","Acanthemblemaria hancocki",29.0270423302357,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"57","Acanthemblemaria hancocki",24.373438980898,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"58","Acanthemblemaria hancocki",27.6123029776917,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"59","Acanthemblemaria hancocki",26.9127807264481,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"60","Acanthemblemaria hancocki",27.0525871374172,"Chaenopsidae","Acanthemblemaria","hancocki",NA,"Y",NA
"61","Acanthistius brasilianus",15.0620686352386,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"62","Acanthistius brasilianus",12.8171648800421,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"63","Acanthistius brasilianus",13.2476243516474,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"64","Acanthistius brasilianus",11.5031233833467,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"65","Acanthistius brasilianus",11.3676704728498,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"66","Acanthistius brasilianus",14.8683399572845,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"67","Acanthistius brasilianus",15.2366039909004,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"68","Acanthistius brasilianus",14.2306678098544,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"69","Acanthistius brasilianus",16.4432464057871,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"70","Acanthistius brasilianus",19.3139351890988,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"71","Acanthistius brasilianus",12.8459076951634,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"72","Acanthistius brasilianus",8.21811212041218,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"73","Acanthistius brasilianus",16.6557094025316,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"74","Acanthistius brasilianus",12.2905898619623,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"75","Acanthistius brasilianus",12.3445312765722,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"76","Acanthistius brasilianus",16.7061909215754,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"77","Acanthistius brasilianus",13.3709067590244,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"78","Acanthistius brasilianus",10.9886005441981,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"79","Acanthistius brasilianus",14.557234225717,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"80","Acanthistius brasilianus",13.7422265032956,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"81","Acanthistius brasilianus",14.1104254042574,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"82","Acanthistius brasilianus",15.0764267429419,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"83","Acanthistius brasilianus",13.1522942793802,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"84","Acanthistius brasilianus",15.7359169443812,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"85","Acanthistius brasilianus",13.5345382183985,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"86","Acanthistius brasilianus",14.9402545324024,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"87","Acanthistius brasilianus",16.8875919690618,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
"88","Acanthistius brasilianus",15.2034424474764,"Serranidae","Acanthistius","brasilianus","Y",NA,NA
