"","sci_name"
"128","Cirrhinus mrigala"
"129","Monopterus albus"
"130","Hypophthalmichthys nobilis"
"131","Anguilla japonica"
"132","Mystus cavasius"
"133","Lepidocephalichthys guntea"
"134","Corica soborna"
"135","Nandus nandus"
"136","Notopterus notopterus"
"137","Channa punctata"
"138","Tenualosa ilisha"
"139","Trichogaster lalius"
"140","Setipinna phasa"
"141","Heteropneustes fossilis"
"142","Macrognathus aculeatus"
"143","Wallago attu"
"144","Oncorhynchus mykiss"
"145","Trichogaster fasciata"
"146","Salmostoma bacaila"
"147","Ompok pabda"
"148","Xenentodon cancila"
"149","Cirrhinus cirrhosus"
"150","Glossogobius giuris"
"151","Anabas testudineus"
"152","Gambusia affinis"
"153","Channa striata"
"154","Sperata aor"
"155","Mastacembelus armatus"
"156","Labeo bata"
"157","Rita rita"
"158","Mystus bleekeri"
"159","Clarias batrachus"
"160","Ompok bimaculatus"
"161","Lates calcarifer"
"162","Pachypterus atherinoides"
"163","Mystus vittatus"
"164","Ambassis ambassis"
"165","Opsariichthys bidens"
"166","Terapon jarbua"
"167","Anguilla bicolor"
"168","Barbonymus gonionotus"
"169","Trypauchen vagina"
"170","Lateolabrax japonicus"
"171","Oreochromis niloticus"
"172","Corydoras ehrhardti"
"173","Schizothorax progastus"
"174","Rasbora tornieri"
"175","Esomus longimanus"
"176","Tridentiger bifasciatus"
"177","Lagodon rhomboides"
"178","Acanthopagrus latus"
"179","Ambassis gymnocephalus"
"180","Channa marulius"
"181","Etroplus suratensis"
"182","Horabagrus brachysoma"
"183","Channa micropeltes"
"184","Bathygobius fuscus"
"185","Puntius bimaculatus"
"186","Pangasianodon hypophthalmus"
"187","Brachirus panoides"
"188","Osphronemus goramy"
"189","Osteochilus vittatus"
"190","Mystacoleucus marginatus"
"191","Puntioplites proctozystron"
"192","Parachela siamensis"
"193","Danio albolineatus"
"194","Hemibagrus nemurus"
"195","Puntius brevis"
"196","Cyclocheilichthys enoplos"
"197","Mystus atrifasciatus"
"198","Parambassis ranga"
"199","Oxyeleotris marmorata"
"200","Leptobarbus hoevenii"
"201","Barbonymus altus"
"202","Barbonymus balleroides"
"203","Parambassis wolffii"
"204","Boesemania microlepis"
"205","Hampala macrolepidota"
"206","Clupeoides borneensis"
"207","Cyclocheilichthys apogon"
"208","Helostoma temminckii"
"209","Oreochromis spilurus"
"210","Lates niloticus"
"211","Sarotherodon melanotheron"
"212","Bagrus docmak"
"213","Protopterus aethiopicus"
"214","Ethmalosa fimbriata"
"215","Mormyrus rume"
"216","Coptodon zillii"
"217","Bathygobius soporator"
"218","Eucinostomus gracilis"
"219","Paralichthys californicus"
"220","Achirus mazatlanus"
"221","Hyporhamphus rosae"
"222","Gillichthys mirabilis"
"223","Noturus miurus"
"224","Notropis anogenus"
"225","Morone chrysops"
"226","Luxilus chrysocephalus"
"227","Notropis blennius"
"228","Culaea inconstans"
"229","Morone americana"
"230","Fundulus notatus"
"231","Notropis topeka"
"232","Notropis bifrenatus"
"233","Lepomis auritus"
"234","Notemigonus crysoleucas"
"235","Esox americanus"
"236","Enneacanthus gloriosus"
"237","Gobio gobio"
"238","Eucinostomus argenteus"
"239","Plagioscion squamosissimus"
"240","Geophagus brasiliensis"
"241","Hoplias malabaricus"
"242","Brycon orbignyanus"
"243","Piaractus mesopotamicus"
"244","Pygocentrus nattereri"
"245","Pseudoplatystoma corruscans"
"246","Corydoras paleatus"
"247","Cnesterodon decemmaculatus"
"248","Odontesthes bonariensis"
"249","Prochilodus lineatus"
"250","Serrasalmus marginatus"
"251","Callichthys callichthys"
"252","Astyanax bimaculatus"
"253","Pterodoras granulosus"
"254","Sorubim lima"
"255","Pinirampus pirinampu"
"256","Scleromystax barbatus"
"257","Pimelodus maculatus"
"258","Leporinus friderici"
"259","Hemisorubim platyrhynchos"
"260","Trichopodus microlepis"
"261","Terapon theraps"
"262","Thynnichthys thynnoides"
"263","Trichopodus pectoralis"
"264","Esomus danrica"
"265","Cyprinodon variegatus"
"266","Fundulus grandis"
"267","Mugil curema"
"268","Sciades herzbergii"
"269","Centropomus parallelus"
"270","Cyprinodon artifrons"
"271","Caranx hippos"
"272","Lepisosteus oculatus"
"273","Lepisosteus osseus"
"274","Anguilla rostrata"
"275","Menidia beryllina"
"276","Alosa sapidissima"
"277","Dorosoma cepedianum"
"278","Dorosoma petenense"
"279","Carpiodes carpio"
"280","Ictiobus bubalus"
"281","Ictiobus niger"
"282","Agosia chrysogaster"
"283","Campostoma anomalum"
"284","Cyprinella lutrensis"
"285","Notropis buchanani"
"286","Notropis stramineus"
"287","Phenacobius mirabilis"
"288","Pimephales promelas"
"289","Pimephales vigilax"
"290","Floridichthys carpio"
"291","Fundulus zebrinus"
"292","Lucania parva"
"293","Belonesox belizanus"
"294","Gambusia yucatana"
"295","Poecilia formosa"
"296","Poecilia latipinna"
"297","Poecilia mexicana"
"298","Poecilia sphenops"
"299","Xiphophorus maculatus"
"300","Xiphophorus variatus"
"301","Lepomis gulosus"
"302","Cymatogaster aggregata"
"303","Morone saxatilis"
"304","Istigobius ornatus"
"305","Aplodinotus grunniens"
"306","Arothron hispidus"
"307","Arothron immaculatus"
"308","Lutjanus fulvus"
"309","Anguilla australis"
"310","Periophthalmus argentilineatus"
"311","Crenimugil crenilabis"
"312","Alosa chrysochloris"
"313","Aldrichetta forsteri"
"314","Ellochelon vaigiensis"
"315","Anguilla dieffenbachii"
"316","Galaxias brevipinnis"
"317","Galaxias fasciatus"
"318","Galaxias maculatus"
"319","Gobiomorphus basalis"
"320","Gobiomorphus breviceps"
"321","Gobiomorphus cotidianus"
"322","Retropinna retropinna"
"323","Cheimarrichthys fosteri"
"324","Sprattus sprattus"
"325","Gobius paganellus"
"326","Pomatoschistus minutus"
"327","Dicentrarchus punctatus"
"328","Congresox talabonoides"
"329","Eubleekeria splendens"
"330","Alosa aestivalis"
"331","Alosa pseudoharengus"
"332","Campostoma oligolepis"
"333","Carpiodes cyprinus"
"334","Catostomus latipinnis"
"335","Catostomus platyrhynchus"
"336","Chrosomus erythrogaster"
"337","Clinostomus elongatus"
"338","Couesius plumbeus"
"339","Cyprinella analostana"
"340","Cyprinella spiloptera"
"341","Cyprinella whipplei"
"342","Erimyzon oblongus"
"343","Erimyzon sucetta"
"344","Exoglossum laurae"
"345","Exoglossum maxillingua"
"346","Gila coerulea"
"347","Hybognathus placitus"
"348","Hybognathus regius"
"349","Hybopsis amblops"
"350","Hypentelium nigricans"
"351","Ictiobus cyprinellus"
"352","Lavinia exilicauda"
"353","Hesperoleucus symmetricus"
"354","Lepidomeda copei"
"355","Luxilus cornutus"
"356","Luxilus zonatus"
"357","Lythrurus umbratilis"
"358","Macrhybopsis storeriana"
"359","Margariscus margarita"
"360","Minytrema melanops"
"361","Moxostoma anisurum"
"362","Moxostoma carinatum"
"363","Moxostoma erythrurum"
"364","Moxostoma macrolepidotum"
"365","Moxostoma robustum"
"366","Moxostoma valenciennesi"
"367","Mylopharodon conocephalus"
"368","Nocomis biguttatus"
"369","Nocomis micropogon"
"370","Notropis atherinoides"
"371","Notropis chalybaeus"
"372","Notropis cummingsae"
"373","Notropis dorsalis"
"374","Notropis girardi"
"375","Notropis heterodon"
"376","Notropis heterolepis"
"377","Notropis hudsonius"
"378","Notropis lutipinnis"
"379","Notropis nubilus"
"380","Notropis photogenis"
"381","Notropis procne"
"382","Notropis rubellus"
"383","Notropis telescopus"
"384","Notropis volucellus"
"385","Opsopoeodus emiliae"
"386","Orthodon microlepidotus"
"387","Pimephales notatus"
"388","Ptychocheilus grandis"
"389","Rhinichthys atratulus"
"390","Rhinichthys obtusus"
"391","Semotilus atromaculatus"
"392","Semotilus corporalis"
"393","Cyprinodon rubrofluviatilis"
"394","Fundulus dispar"
"395","Fundulus olivaceus"
"396","Fundulus sciadicus"
"397","Gambusia holbrooki"
"398","Heterandria formosa"
"399","Dallia pectoralis"
"400","Umbra limi"
"401","Microgadus tomcod"
"402","Lepisosteus platostomus"
"403","Osmerus mordax"
"404","Thaleichthys pacificus"
"405","Ambloplites rupestris"
"406","Ammocrypta clara"
"407","Archoplites interruptus"
"408","Etheostoma blennioides"
"409","Etheostoma caeruleum"
"410","Etheostoma exile"
"411","Etheostoma microperca"
"412","Etheostoma nigrum"
"413","Etheostoma spectabile"
"414","Etheostoma zonale"
"415","Lepomis gibbosus"
"416","Lepomis humilis"
"417","Lepomis microlophus"
"418","Micropterus dolomieu"
"419","Micropterus punctulatus"
"420","Morone mississippiensis"
"421","Perca flavescens"
"422","Percina caprodes"
"423","Percina copelandi"
"424","Percina maculata"
"425","Percina phoxocephala"
"426","Percina shumardi"
"427","Pomoxis annularis"
"428","Pomoxis nigromaculatus"
"429","Sander canadensis"
"430","Sander vitreus"
"431","Aphredoderus sayanus"
"432","Percopsis omiscomaycus"
"433","Ichthyomyzon castaneus"
"434","Lethenteron appendix"
"435","Coregonus clupeaformis"
"436","Oncorhynchus gorbuscha"
"437","Oncorhynchus keta"
"438","Oncorhynchus kisutch"
"439","Oncorhynchus tshawytscha"
"440","Prosopium coulterii"
"441","Prosopium cylindraceum"
"442","Salvelinus malma"
"443","Cottus bairdii"
"444","Cottus carolinae"
"445","Cottus cognatus"
"446","Cottus hypselurus"
"447","Cottus tallapoosae"
"448","Myoxocephalus thompsonii"
"449","Ameiurus catus"
"450","Ameiurus melas"
"451","Ameiurus natalis"
"452","Ictalurus furcatus"
"453","Noturus exilis"
"454","Noturus flavus"
"455","Noturus gyrinus"
"456","Noturus insignis"
"457","Noturus stigmosus"
"458","Pylodictis olivaris"
"459","Salvelinus namaycush"
"460","Poeciliopsis occidentalis"
"461","Oligoplites palometa"
"462","Ponticola ratan"
"463","Moxostoma duquesnii"
"464","Mesopotamichthys sharpeyi"
"465","Zungaro zungaro"
"466","Metynnis maculatus"
"467","Astyanax lineatus"
"468","Myloplus levis"
"469","Bujurquina vittata"
"470","Ageneiosus inermis"
"471","Calophysus macropterus"
"472","Phractocephalus hemioliopterus"
"473","Brachyplatystoma filamentosum"
"474","Brycon hilarii"
"475","Leiarius marmoratus"
"476","Pseudoplatystoma fasciatum"
"477","Hypophthalmus edentatus"
"478","Prochilodus magdalenae"
"479","Pimelodus argenteus"
"480","Pterophyllum scalare"
"481","Pseudoplatystoma tigrinum"
"482","Prochilodus nigricans"
"483","Colossoma macropomum"
"484","Ambassis natalensis"
"485","Awaous commersoni"
"486","Hypseleotris galii"
"487","Hypseleotris klunzingeri"
"488","Thryssa kammalensis"
"489","Odontamblyopus rubicundus"
"490","Cyprinodon dearborni"
"491","Dermogenys pusilla"
"492","Diplocheilichthys pleurotaenia"
"493","Rasbora argyrotaenia"
"494","Tenualosa macrura"
"495","Melanotaenia duboulayi"
"496","Melanotaenia splendida"
"497","Ambassis agrammus"
"498","Craterocephalus stercusmuscarum"
"499","Amniataba percoides"
"500","Tor putitora"
"501","Schizothorax esocinus"
"502","Schizothorax plagiostomus"
"503","Megaleporinus elongatus"
"504","Symphysodon discus"
"505","Mystus gulio"
"506","Coregonus maraenoides"
"507","Awaous grammepomus"
"508","Atherina boyeri"
"509","Perccottus glenii"
"510","Hypomesus nipponensis"
"511","Salvelinus leucomaenis"
"512","Metynnis mola"
"513","Platichthys flesus"
"514","Eleotris fusca"
"515","Systomus sarana"
"516","Hypostomus borellii"
"517","Loricaria tucumanensis"
"518","Parodon carrikeri"
"519","Limia melanonotata"
"520","Schizothorax kozlovi"
"521","Clupeonella cultriventris"
"522","Gasterosteus aculeatus"
"523","Chondrostoma nasus"
"524","Coregonus albula"
"525","Salvelinus alpinus"
"526","Barbatula barbatula"
"527","Cottus gobio"
"528","Pungitius pungitius"
"529","Thymallus thymallus"
