"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"71","Pinirampus pinirampu","Pinirampus","pinirampu","Y",NA,NA,"itis","Pimelodidae"
"72","Cyprinus carpio","Cyprinus","carpio","Y","Y","Y","itis","Cyprinidae"
"73","Pterodoras granulosus","Pterodoras","granulosus","Y",NA,NA,"itis","Doradidae"
"74","Plagioscion squamosissimus","Plagioscion","squamosissimus","Y",NA,NA,"itis","Sciaenidae"
"75","Prochilodus lineatus","Prochilodus","lineatus","Y","Y",NA,"itis","Curimatidae"
"76","Salminus maxillosus","Salminus","maxillosus","Y",NA,NA,"itis","Characidae"
"77","Hemisorubim platyrhynchos","Hemisorubim","platyrhynchos","Y",NA,NA,"itis","Pimelodidae"
"78","Pimelodus maculatus","Pimelodus","maculatus","Y",NA,NA,"itis","Pimelodidae"
"79","Piaractus mesopotamicus","Piaractus","mesopotamicus","Y",NA,NA,"itis","Characidae"
"80","Leporinus friderici","Leporinus","friderici","Y",NA,NA,"itis","Anostomidae"
"81","Pseudoplatystoma corruscans","Pseudoplatystoma","corruscans","Y",NA,NA,"itis","Pimelodidae"
"82","Epinephelus aeneus","Epinephelus","aeneus","Y",NA,NA,"itis","Serranidae"
"83","Chelidonichthys lucerna","Chelidonichthys","lucerna","Y",NA,NA,"itis","Triglidae"
"84","Pomatomus saltatrix","Pomatomus","saltatrix","Y",NA,NA,"itis","Pomatomidae"
"85","Sparus aurata","Sparus","aurata","Y",NA,NA,"itis","Sparidae"
"86","Siganus rivulatus","Siganus","rivulatus","Y",NA,NA,"itis","Siganidae"
"87","Engraulis encrasicolus","Engraulis","encrasicolus","Y",NA,NA,"itis","Engraulidae"
"88","Anguilla anguilla","Anguilla","anguilla","Y",NA,NA,"itis","Anguillidae"
"89","Hoplostethus atlanticus","Hoplostethus","atlanticus","Y",NA,NA,"itis","Trachichthyidae"
"90","Merluccius merluccius","Merluccius","merluccius","Y",NA,NA,"itis","Merlucciidae"
