"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"301","Pleuragramma antarctica","Pleuragramma","antarctica","Y",NA,NA,"itis","Nototheniidae"
"302","Trematomus bernacchii","Trematomus","bernacchii","Y","Y",NA,"itis","Nototheniidae"
"303","Trematomus eulepidotus","Trematomus","eulepidotus","Y",NA,NA,"itis","Nototheniidae"
"304","Trematomus hansoni","Trematomus","hansoni","Y","Y",NA,"itis","Nototheniidae"
"305","Trematomus lepidorhinus","Trematomus","lepidorhinus","Y",NA,NA,"itis","Nototheniidae"
"306","Trematomus pennellii","Trematomus","pennellii","Y","Y",NA,"itis","Nototheniidae"
"307","Bathylagus antarcticus","Bathylagus","antarcticus","Y",NA,NA,"itis","Bathylagidae"
"308","Lepidorhynchus denticulatus","Lepidorhynchus","denticulatus","Y",NA,NA,"itis","Macrouridae"
"309","Pseudophycis bachus","Pseudophycis","bachus","Y",NA,NA,"itis","Moridae"
"310","Dicenctrarcchus punctatus","Dicenctrarcchus","punctatus","Y",NA,NA,"itis",NA
"311","Pagellus erythrinus","Pagellus","erythrinus","Y",NA,NA,"itis","Sparidae"
"312","Pagrus auriga","Pagrus","auriga","Y",NA,NA,"itis","Sparidae"
"313","Aetomylaeus bovinus","Aetomylaeus","bovinus","Y",NA,NA,"itis","Myliobatidae"
"314","Trachurus mediterraneus","Trachurus","mediterraneus","Y",NA,NA,"itis","Carangidae"
"315","Alosa immaculata","Alosa","immaculata","Y",NA,NA,"itis","Clupeidae"
"316","Pampus chinensis","Pampus","chinensis","Y",NA,NA,"itis","Stromateidae"
"317","Euthynnus affinis","Euthynnus","affinis","Y","Y",NA,"itis","Scombridae"
"318","Lutjanus malabaricus","Lutjanus","malabaricus","Y","Y",NA,"itis","Lutjanidae"
"319","Epinephelus sexfasciatus","Epinephelus","sexfasciatus","Y",NA,NA,"itis","Serranidae"
"320","Hydrolagus affinis","Hydrolagus","affinis","Y",NA,NA,"itis","Chimaeridae"
"321","Deania calcea","Deania","calcea","Y",NA,NA,"itis","Centrophoridae"
"322","Alepocephalus bairdii","Alepocephalus","bairdii","Y",NA,NA,"itis","Alepocephalidae"
"323","Alepocephalus agassizii","Alepocephalus","agassizii","Y",NA,NA,"itis","Alepocephalidae"
"324","Notothenia neglecta","Notothenia","neglecta","Y",NA,NA,"itis","Nototheniidae"
"325","Gobionotothen gibberifrons","Gobionotothen","gibberifrons","Y","Y",NA,"itis","Nototheniidae"
"326","Chaenocephalus aceratus","Chaenocephalus","aceratus","Y","Y",NA,"itis","Channichthyidae"
"327","Champsocephalus gunnari","Champsocephalus","gunnari","Y",NA,NA,"itis","Channichthyidae"
"328","Hyperoglyphe antarctica","Hyperoglyphe","antarctica","Y",NA,NA,"itis","Centrolophidae"
"329","Etrumeus teres","Etrumeus","teres","Y",NA,NA,"itis","Clupeidae"
"330","Pampus punctatissimus","Pampus","punctatissimus","Y",NA,NA,"itis","Stromateidae"
"331","Thunnus orientalis","Thunnus","orientalis","Y",NA,NA,"itis","Scombridae"
"332","Diplodus puntazzo","Diplodus","puntazzo","Y",NA,NA,"itis","Sparidae"
"333","Limanda aspera","Limanda","aspera","Y",NA,NA,"itis","Pleuronectidae"
"334","Sparisoma cretense","Sparisoma","cretense","Y",NA,NA,"itis","Scaridae"
"335","Trisopterus minutus","Trisopterus","minutus","Y",NA,NA,"itis","Gadidae"
"336","Pagellus centrodontus","Pagellus","centrodontus","Y",NA,NA,"itis","Sparidae"
"337","Oblada melanura","Oblada","melanura","Y",NA,NA,"itis","Sparidae"
"338","Scorpaena scrofa","Scorpaena","scrofa","Y",NA,NA,"itis","Scorpaenidae"
"339","Lithognathus mormyrus","Lithognathus","mormyrus","Y",NA,NA,"itis","Sparidae"
"340","Chirocentrus dorab","Chirocentrus","dorab","Y",NA,NA,"itis","Chirocentridae"
"341","Ethmalosa fimbriata","Ethmalosa","fimbriata","Y",NA,NA,"itis","Clupeidae"
"342","Tenualosa macroura","Tenualosa","macroura","Y",NA,NA,"itis","Clupeidae"
"343","Lutjanus johnii","Lutjanus","johnii","Y",NA,NA,"itis","Lutjanidae"
"344","Sebastes mentella","Sebastes","mentella","Y",NA,NA,"itis","Scorpaenidae"
"345","Aldrichetta forsteri","Aldrichetta","forsteri","Y",NA,NA,"itis","Mugilidae"
"346","Neolissochilus hexagonolepis","Neolissochilus","hexagonolepis","Y","Y",NA,"itis","Cyprinidae"
"347","Pagrus caeruleostictus","Pagrus","caeruleostictus","Y",NA,NA,"itis","Sparidae"
"348","Dentex maroccanus","Dentex","maroccanus","Y",NA,NA,"itis","Sparidae"
"349","Gasterochisma melampus","Gasterochisma","melampus","Y",NA,NA,"itis","Scombridae"
"350","Isurus oxyrinchus","Isurus","oxyrinchus","Y",NA,NA,"itis","Lamnidae"
"351","Lampris guttatus","Lampris","guttatus","Y",NA,NA,"itis","Lampridae"
"352","Lamna nasus","Lamna","nasus","Y",NA,NA,"itis","Lamnidae"
"353","Brama japonica","Brama","japonica","Y",NA,NA,"itis",NA
"354","Alosa sapidissima","Alosa","sapidissima","Y","Y","Y","itis","Clupeidae"
"355","Sardinella aurita","Sardinella","aurita","Y",NA,NA,"itis","Clupeidae"
"356","Morone saxatilis","Morone","saxatilis","Y","Y",NA,"itis","Moronidae"
"357","Decapterus punctatus","Decapterus","punctatus","Y",NA,NA,"itis","Carangidae"
"358","Nemipterus bipunctatus","Nemipterus","bipunctatus","Y",NA,NA,"itis","Nemipteridae"
"359","Spratelloides robustus","Spratelloides","robustus","Y",NA,NA,"itis","Clupeidae"
"360","Encrasicholina devisi","Encrasicholina","devisi","Y",NA,NA,"itis","Engraulidae"
"361","Cephalopholis miniata","Cephalopholis","miniata","Y",NA,NA,"itis","Serranidae"
"362","Cephalopholis sonnerati","Cephalopholis","sonnerati","Y",NA,NA,"itis","Serranidae"
"363","Ariomma bondi","Ariomma","bondi","Y",NA,NA,"itis","Ariommatidae"
"364","Upeneus parvus","Upeneus","parvus","Y",NA,NA,"itis","Mullidae"
"365","Syacium gunteri","Syacium","gunteri","Y",NA,NA,"itis","Paralichthyidae"
"366","Cynoscion arenarius","Cynoscion","arenarius","Y",NA,NA,"itis","Sciaenidae"
"367","Anchoa hepsetus","Anchoa","hepsetus","Y",NA,NA,"itis","Engraulidae"
"368","Synodus foetens","Synodus","foetens","Y",NA,NA,"itis","Synodontidae"
"369","Caulolatilus intermedius","Caulolatilus","intermedius","Y",NA,NA,"itis","Malacanthidae"
"370","Cynoscion nothus","Cynoscion","nothus","Y",NA,NA,"itis","Sciaenidae"
"371","Elops saurus","Elops","saurus","Y",NA,NA,"itis","Elopidae"
"372","Dasyatis sabina","Dasyatis","sabina","Y","Y",NA,"itis","Dasyatidae"
"373","Menticirrhus americanus","Menticirrhus","americanus","Y",NA,NA,"itis","Sciaenidae"
"374","Rhizoprionodon terraenovae","Rhizoprionodon","terraenovae","Y",NA,NA,"itis","Carcharhinidae"
"375","Carcharhinus limbatus","Carcharhinus","limbatus","Y",NA,NA,"itis","Carcharhinidae"
"376","Liza ramada","Liza","ramada","Y","Y",NA,"itis","Mugilidae"
"377","Salvelinus alpinus","Salvelinus","alpinus","Y",NA,NA,"itis","Salmonidae"
"378","Myoxocephalus scorpius","Myoxocephalus","scorpius","Y",NA,NA,"itis","Cottidae"
"379","Pagellus acarne","Pagellus","acarne","Y",NA,NA,"itis","Sparidae"
"380","Cyclopterus lumpus","Cyclopterus","lumpus","Y",NA,NA,"itis","Cyclopteridae"
"381","Scorpaena porcus","Scorpaena","porcus","Y","Y",NA,"itis","Scorpaenidae"
"382","Salvelinus fontinalis","Salvelinus","fontinalis","Y","Y","Y","itis","Salmonidae"
"383","Parambassis ranga","Parambassis","ranga","Y",NA,NA,"itis","Chandidae"
"384","Aethaloperca rogaa","Aethaloperca","rogaa","Y",NA,NA,"itis","Serranidae"
"385","Aprion virescens","Aprion","virescens","Y",NA,NA,"itis","Lutjanidae"
"386","Chlorurus sordidus","Chlorurus","sordidus","Y",NA,NA,"itis","Scaridae"
"387","Coris formosa","Coris","formosa","Y",NA,NA,"itis","Labridae"
"388","Lutjanus kasmira","Lutjanus","kasmira","Y",NA,NA,"itis","Lutjanidae"
"389","Lutjanus vitta","Lutjanus","vitta","Y","Y",NA,"itis","Lutjanidae"
"390","Mastacembelus armatus","Mastacembelus","armatus","Y",NA,NA,"itis","Mastacembelidae"
"391","Pachypterus atherinoides","Pachypterus","atherinoides","Y",NA,NA,"itis",NA
"392","Chanda nama","Chanda","nama","Y",NA,NA,"itis","Chandidae"
"393","Puntius stigma","Puntius","stigma","Y",NA,NA,"itis","Cyprinidae"
"394","Sciades herzbergii","Sciades","herzbergii","Y",NA,NA,"itis","Ariidae"
"395","Anguilla rostrata","Anguilla","rostrata","Y",NA,"Y","itis","Anguillidae"
"396","Pogonias cromis","Pogonias","cromis","Y",NA,NA,"itis","Sciaenidae"
"397","Huso huso","Huso","huso","Y",NA,NA,"itis","Acipenseridae"
"398","Anguilla japonica","Anguilla","japonica","Y",NA,NA,"itis","Anguillidae"
"399","Coregonus autumnalis","Coregonus","autumnalis","Y",NA,NA,"itis","Salmonidae"
"400","Stenodus leucichthys","Stenodus","leucichthys","Y",NA,NA,"itis","Salmonidae"
"401","Sardinella longiceps","Sardinella","longiceps","Y",NA,NA,"itis","Clupeidae"
"402","Thunnus albacares","Thunnus","albacares","Y",NA,NA,"itis","Scombridae"
"403","Stolephorus waitei","Stolephorus","waitei","Y",NA,NA,"itis","Engraulidae"
"404","Stolephorus commersonnii","Stolephorus","commersonnii","Y",NA,NA,"itis","Engraulidae"
"405","Eubleekeria splendens","Eubleekeria","splendens","Y",NA,NA,"itis",NA
"406","Beringraja binoculata","Beringraja","binoculata","Y",NA,NA,"itis",NA
"407","Raja rhina","Raja","rhina","Y",NA,NA,"itis","Rajidae"
"408","Rexea solandri","Rexea","solandri","Y",NA,NA,"itis","Gempylidae"
"409","Argyrosomus hololepidotus","Argyrosomus","hololepidotus","Y",NA,NA,"itis","Sciaenidae"
"410","Diaphus watasei","Diaphus","watasei","Y",NA,NA,"itis","Myctophidae"
"411","Diaphus suborbitalis","Diaphus","suborbitalis","Y",NA,NA,"itis","Myctophidae"
"412","Epinephelus tauvina","Epinephelus","tauvina","Y","Y",NA,"itis","Serranidae"
"413","Carangoides orthogrammus","Carangoides","orthogrammus","Y",NA,NA,"itis","Carangidae"
"414","Tylosurus crocodilus","Tylosurus","crocodilus","Y",NA,NA,"itis","Belonidae"
"415","Lutjanus gibbus","Lutjanus","gibbus","Y",NA,NA,"itis","Lutjanidae"
"416","Seriola lalandi","Seriola","lalandi","Y",NA,NA,"itis","Carangidae"
"417","Leiognathus splendens","Leiognathus","splendens","Y",NA,NA,"itis","Leiognathidae"
"418","Stolephorus commersonii","Stolephorus","commersonii","Y",NA,NA,"itis","Engraulidae"
"419","Diagramma pictum","Diagramma","pictum","Y",NA,NA,"itis","Haemulidae"
"420","Ctenochaetus binotatus","Ctenochaetus","binotatus","Y",NA,NA,"itis","Acanthuridae"
"421","Epibulus insidiator","Epibulus","insidiator","Y",NA,NA,"itis","Labridae"
"422","Scarus rubroviolaceus","Scarus","rubroviolaceus","Y",NA,NA,"itis","Scaridae"
"423","Schizothorax richardsonii","Schizothorax","richardsonii","Y",NA,NA,"itis","Cyprinidae"
"424","Tor putitora","Tor","putitora","Y","Y",NA,"itis","Cyprinidae"
"425","Amblygaster sirm","Amblygaster","sirm","Y",NA,NA,"itis","Clupeidae"
"426","Auxis thazard","Auxis","thazard","Y",NA,NA,"itis","Scombridae"
"427","Decapterus macrosoma","Decapterus","macrosoma","Y",NA,NA,"itis","Carangidae"
"428","Henicorhynchus siamensis","Henicorhynchus","siamensis","Y",NA,NA,"itis","Cyprinidae"
"429","Trichopodus microlepis","Trichopodus","microlepis","Y",NA,NA,"itis",NA
"430","Scarus niger","Scarus","niger","Y",NA,NA,"itis","Scaridae"
"431","Pangasius pangasius","Pangasius","pangasius","Y","Y",NA,"itis","Pangasiidae"
"432","Lethrinus olivaceus","Lethrinus","olivaceus","Y",NA,NA,"itis","Lethrinidae"
"433","Lutjanus lutjanus","Lutjanus","lutjanus","Y",NA,NA,"itis","Lutjanidae"
"434","Selar crumenophthalmus","Selar","crumenophthalmus","Y",NA,NA,"itis","Carangidae"
"435","Sphyraena jello","Sphyraena","jello","Y",NA,NA,"itis","Sphyraenidae"
"436","Benthosema fibulatum","Benthosema","fibulatum","Y",NA,NA,"itis","Myctophidae"
"437","Bregmaceros mcclellandi","Bregmaceros","mcclellandi","Y",NA,NA,"itis","Bregmacerotidae"
"438","Pentaprion longimanus","Pentaprion","longimanus","Y",NA,NA,"itis","Gerreidae"
"439","Caranx rhonchus","Caranx","rhonchus","Y",NA,NA,"itis","Carangidae"
"440","Sardinella maderensis","Sardinella","maderensis","Y",NA,NA,"itis","Clupeidae"
"441","Sphyraena guachancho","Sphyraena","guachancho","Y",NA,NA,"itis","Sphyraenidae"
"442","Trachurus trecae","Trachurus","trecae","Y",NA,NA,"itis","Carangidae"
"443","Caranx melampygus","Caranx","melampygus","Y",NA,NA,"itis","Carangidae"
"444","Cephalopholis argus","Cephalopholis","argus","Y",NA,NA,"itis","Serranidae"
"445","Ctenochaetus striatus","Ctenochaetus","striatus","Y",NA,NA,"itis","Acanthuridae"
"446","Monotaxis grandoculis","Monotaxis","grandoculis","Y",NA,NA,"itis","Euphorbiaceae"
"447","Parupeneus barberinus","Parupeneus","barberinus","Y",NA,NA,"itis","Mullidae"
"448","Acanthurus mata","Acanthurus","mata","Y",NA,NA,"itis","Acanthuridae"
"449","Calotomus carolinus","Calotomus","carolinus","Y",NA,NA,"itis","Scaridae"
"450","Cantherhines pardalis","Cantherhines","pardalis","Y",NA,NA,"itis","Monacanthidae"
"451","Carangoides plagiotaenia","Carangoides","plagiotaenia","Y",NA,NA,"itis","Carangidae"
"452","Lethrinus nebulosus","Lethrinus","nebulosus","Y",NA,NA,"itis","Lethrinidae"
"453","Lethrinus variegatus","Lethrinus","variegatus","Y",NA,NA,"itis","Lethrinidae"
"454","Zebrasoma desjardinii","Zebrasoma","desjardinii","Y",NA,NA,"itis","Acanthuridae"
"455","Botia dario","Botia","dario","Y",NA,NA,"itis","Cobitidae"
"456","Trichogaster fasciata","Trichogaster","fasciata","Y",NA,NA,"itis","Osphronemidae"
"457","Salmostoma bacaila","Salmostoma","bacaila","Y",NA,NA,"itis","Cyprinidae"
"458","Coregonus lavaretus","Coregonus","lavaretus","Y",NA,NA,"itis","Salmonidae"
"459","Cheilinus trilobatus","Cheilinus","trilobatus","Y",NA,NA,"itis","Labridae"
"460","Salmo trutta","Salmo","trutta","Y","Y","Y","itis","Salmonidae"
"461","Cirrhinus molitorella","Cirrhinus","molitorella","Y",NA,NA,"itis","Cyprinidae"
"462","Epinephelus merra","Epinephelus","merra","Y",NA,NA,"itis","Serranidae"
"463","Epinephelus spilotoceps","Epinephelus","spilotoceps","Y",NA,NA,"itis","Serranidae"
"464","Hemigymnus fasciatus","Hemigymnus","fasciatus","Y",NA,NA,"itis","Labridae"
"465","Scarus psittacus","Scarus","psittacus","Y",NA,NA,"itis","Scaridae"
"466","Notopterus notopterus","Notopterus","notopterus","Y",NA,NA,"itis","Notopteridae"
"467","Labeo calbasu","Labeo","calbasu","Y",NA,NA,"itis","Cyprinidae"
"468","Eutropiichthys vacha","Eutropiichthys","vacha","Y",NA,NA,"itis","Schilbeidae"
"469","Sander lucioperca","Sander","lucioperca","Y","Y",NA,"itis","Percidae"
"470","Lota lota","Lota","lota","Y","Y","Y","itis","Gadidae"
"471","Oxyeleotris marmorata","Oxyeleotris","marmorata","Y",NA,NA,"itis","Eleotridae"
"472","Trichopodus pectoralis","Trichopodus","pectoralis","Y",NA,NA,"itis",NA
"473","Lethrinus enigmaticus","Lethrinus","enigmaticus","Y",NA,NA,"itis","Lethrinidae"
"474","Lethrinus xanthochilus","Lethrinus","xanthochilus","Y",NA,NA,"itis","Lethrinidae"
"475","Lutjanus fulviflamma","Lutjanus","fulviflamma","Y",NA,NA,"itis","Lutjanidae"
"476","Oxycheilinus digramma","Oxycheilinus","digramma","Y",NA,NA,"itis","Labridae"
"477","Sargocentron spiniferum","Sargocentron","spiniferum","Y",NA,NA,"itis","Holocentridae"
"478","Scarus falcipinnis","Scarus","falcipinnis","Y",NA,NA,"itis","Scaridae"
"479","Schizothorax esocinus","Schizothorax","esocinus","Y",NA,NA,"itis","Cyprinidae"
"480","Schizopyge niger","Schizopyge","niger","Y",NA,NA,"itis","Cyprinidae"
"481","Scarus tricolor","Scarus","tricolor","Y",NA,NA,"itis","Scaridae"
"482","Siganus argenteus","Siganus","argenteus","Y",NA,NA,"itis","Siganidae"
"483","Siganus sutor","Siganus","sutor","Y",NA,NA,"itis","Siganidae"
"484","Osteobrama cotio","Osteobrama","cotio","Y",NA,NA,"itis","Cyprinidae"
"485","Pethia ticto","Pethia","ticto","Y",NA,NA,"itis",NA
"486","Leptobarbus hoevenii","Leptobarbus","hoevenii","Y",NA,NA,"itis","Cyprinidae"
"487","Hemibagrus nemurus","Hemibagrus","nemurus","Y",NA,NA,"itis","Bagridae"
"488","Puntius bimaculatus","Puntius","bimaculatus","Y",NA,NA,"itis","Cyprinidae"
"489","Nandus nandus","Nandus","nandus","Y",NA,NA,"itis","Nandidae"
"490","Ompok pabda","Ompok","pabda","Y",NA,NA,"itis","Siluridae"
"491","Symphysodon discus","Symphysodon","discus","Y",NA,NA,"itis","Cichlidae"
"492","Catostomus commersonii","Catostomus","commersonii","Y","Y","Y","itis","Catostomidae"
"493","Sander vitreus","Sander","vitreus","Y","Y","Y","itis","Percidae"
"494","Perca flavescens","Perca","flavescens","Y","Y","Y","itis","Percidae"
"495","Pomoxis nigromaculatus","Pomoxis","nigromaculatus","Y","Y","Y","itis","Centrarchidae"
"496","Crossocheilus latius","Crossocheilus","latius","Y",NA,NA,"itis","Cyprinidae"
"497","Wallago attu","Wallago","attu","Y",NA,NA,"itis","Siluridae"
"498","Chitala chitala","Chitala","chitala","Y",NA,NA,"itis","Notopteridae"
"499","Labeo gonius","Labeo","gonius","Y",NA,NA,"itis","Cyprinidae"
"500","Sperata aor","Sperata","aor","Y",NA,NA,"itis","Bagridae"
"501","Salmostoma phulo","Salmostoma","phulo","Y",NA,NA,"itis","Cyprinidae"
"502","Etroplus suratensis","Etroplus","suratensis","Y","Y",NA,"itis","Cichlidae"
"503","Rita rita","Rita","rita","Y",NA,NA,"itis","Bagridae"
"504","Tachysurus dumerili","Tachysurus","dumerili","Y",NA,NA,"itis",NA
"505","Mormyrus rume","Mormyrus","rume","Y",NA,NA,"itis","Mormyridae"
"506","Rutilus frisii","Rutilus","frisii","Y",NA,NA,"itis","Leuciscidae"
"507","Coptodon zillii","Coptodon","zillii","Y",NA,NA,"itis",NA
"508","Monopterus albus","Monopterus","albus","Y",NA,NA,"itis","Synbranchidae"
"509","Coregonus clupeaformis","Coregonus","clupeaformis","Y","Y","Y","itis","Salmonidae"
"510","Rhamphochromis ferox","Rhamphochromis","ferox","Y",NA,NA,"itis","Cichlidae"
"511","Trichogaster lalius","Trichogaster","lalius","Y",NA,NA,"itis","Osphronemidae"
"512","Carassius carassius","Carassius","carassius","Y","Y",NA,"itis","Cyprinidae"
"513","Silurus glanis","Silurus","glanis","Y","Y",NA,"itis","Siluridae"
"514","Rutilus rutilus","Rutilus","rutilus","Y","Y",NA,"itis","Leuciscidae"
"515","Squalius cephalus","Squalius","cephalus","Y","Y",NA,"itis","Leuciscidae"
"516","Leuciscus idus","Leuciscus","idus","Y","Y",NA,"itis","Leuciscidae"
"517","Scardinius erythrophthalmus","Scardinius","erythrophthalmus","Y","Y","Y","itis","Leuciscidae"
"518","Tinca tinca","Tinca","tinca","Y","Y",NA,"itis","Cyprinidae"
"519","Puntioplites proctozystron","Puntioplites","proctozystron","Y",NA,NA,"itis","Cyprinidae"
"520","Mystus bleekeri","Mystus","bleekeri","Y",NA,NA,"itis","Bagridae"
"521","Awaous grammepomus","Awaous","grammepomus","Y",NA,NA,"itis","Gobiidae"
"522","Puntius chola","Puntius","chola","Y",NA,NA,"itis","Cyprinidae"
"523","Dermogenys pusilla","Dermogenys","pusilla","Y",NA,NA,"itis","Hemiramphidae"
"524","Brachirus panoides","Brachirus","panoides","Y",NA,NA,"itis","Soleidae"
"525","Cyclocheilichthys apogon","Cyclocheilichthys","apogon","Y",NA,NA,"itis","Cyprinidae"
"526","Parambassis baculis","Parambassis","baculis","Y",NA,NA,"itis","Chandidae"
"527","Barbonymus gonionotus","Barbonymus","gonionotus","Y",NA,NA,"itis","Cyprinidae"
"528","Pangasianodon hypophthalmus","Pangasianodon","hypophthalmus","Y",NA,NA,"itis","Pangasiidae"
"529","Salvelinus namaycush","Salvelinus","namaycush","Y","Y","Y","itis","Salmonidae"
"530","Pinirampus pirinampu","Pinirampus","pirinampu","Y",NA,NA,"itis","Pimelodidae"
"531","Zungaro zungaro","Zungaro","zungaro","Y",NA,NA,"itis","Pimelodidae"
"532","Sorubim lima","Sorubim","lima","Y",NA,NA,"itis","Pimelodidae"
"533","Ageneiosus inermis","Ageneiosus","inermis","Y",NA,NA,"itis","Auchenipteridae"
"534","Pseudoplatystoma fasciatum","Pseudoplatystoma","fasciatum","Y",NA,NA,"itis","Pimelodidae"
"535","Leuciscus aspius","Leuciscus","aspius","Y",NA,NA,"itis","Leuciscidae"
"536","Chondrostoma nasus","Chondrostoma","nasus","Y",NA,NA,"itis","Leuciscidae"
"537","Rasbora tornieri","Rasbora","tornieri","Y",NA,NA,"itis","Cyprinidae"
"538","Clupeoides borneensis","Clupeoides","borneensis","Y",NA,NA,"itis","Clupeidae"
"539","Thynnichthys thynnoides","Thynnichthys","thynnoides","Y",NA,NA,"itis","Cyprinidae"
"540","Anguilla bicolor","Anguilla","bicolor","Y",NA,NA,"itis","Anguillidae"
"541","Prochilodus magdalenae","Prochilodus","magdalenae","Y",NA,NA,"itis","Curimatidae"
"542","Barbonymus altus","Barbonymus","altus","Y",NA,NA,"itis","Cyprinidae"
"543","Esomus longimanus","Esomus","longimanus","Y",NA,NA,"itis","Cyprinidae"
"544","Helostoma temminckii","Helostoma","temminckii","Y",NA,NA,"itis","Helostomatidae"
"545","Osteochilus vittatus","Osteochilus","vittatus","Y",NA,NA,"itis","Cyprinidae"
"546","Parambassis wolffii","Parambassis","wolffii","Y",NA,NA,"itis","Chandidae"
"547","Lates niloticus","Lates","niloticus","Y",NA,NA,"itis","Centropomidae"
"548","Gonialosa manmina","Gonialosa","manmina","Y",NA,NA,"itis","Clupeidae"
"549","Batasio tengana","Batasio","tengana","Y",NA,NA,"itis","Bagridae"
"550","Puntius puntio","Puntius","puntio","Y",NA,NA,"itis","Cyprinidae"
"551","Osphronemus goramy","Osphronemus","goramy","Y",NA,NA,"itis","Osphronemidae"
"552","Ctenopharyngodon idella","Ctenopharyngodon","idella","Y","Y","Y","itis","Cyprinidae"
"553","Oreochromis spilurus","Oreochromis","spilurus","Y",NA,NA,"itis","Cichlidae"
"554","Mastacembelus mastacembelus","Mastacembelus","mastacembelus","Y",NA,NA,"itis","Mastacembelidae"
"555","Mesoheros festae","Mesoheros","festae","Y",NA,NA,"itis",NA
"556","Barbonymus balleroides","Barbonymus","balleroides","Y",NA,NA,"itis","Cyprinidae"
"557","Diplocheilichthys pleurotaenia","Diplocheilichthys","pleurotaenia","Y",NA,NA,"itis",NA
"558","Hampala macrolepidota","Hampala","macrolepidota","Y",NA,NA,"itis","Cyprinidae"
"559","Rasbora argyrotaenia","Rasbora","argyrotaenia","Y",NA,NA,"itis","Cyprinidae"
"560","Mystacoleucus marginatus","Mystacoleucus","marginatus","Y",NA,NA,"itis","Cyprinidae"
"561","Chanos chanos","Chanos","chanos","Y","Y",NA,"itis","Chanidae"
"562","Mystus gulio","Mystus","gulio","Y",NA,NA,"itis","Bagridae"
"563","Schizothorax curvifrons","Schizothorax","curvifrons","Y",NA,NA,"itis","Cyprinidae"
"564","Schizothorax plagiostomus","Schizothorax","plagiostomus","Y",NA,NA,"itis","Cyprinidae"
"565","Schizothorax progastus","Schizothorax","progastus","Y",NA,NA,"itis","Cyprinidae"
"566","Labeo fimbriatus","Labeo","fimbriatus","Y",NA,NA,"itis","Cyprinidae"
"567","Cirrhinus reba","Cirrhinus","reba","Y",NA,NA,"itis","Cyprinidae"
"568","Ompok bimaculatus","Ompok","bimaculatus","Y",NA,NA,"itis","Siluridae"
"569","Brycon cephalus","Brycon","cephalus","Y",NA,NA,"itis","Characidae"
"570","Brycon hilarii","Brycon","hilarii","Y",NA,NA,"itis","Characidae"
"571","Monopterus cuchia","Monopterus","cuchia","Y",NA,NA,"itis","Synbranchidae"
"572","Thymallus thymallus","Thymallus","thymallus","Y","Y",NA,"itis","Salmonidae"
"573","Carassius gibelio","Carassius","gibelio","Y",NA,NA,"itis","Cyprinidae"
"574","Acanthopagrus arabicus","Acanthopagrus","arabicus","Y",NA,NA,"itis","Sparidae"
"575","Otolithes ruber","Otolithes","ruber","Y",NA,NA,"itis","Sciaenidae"
"576","Leuciscus vorax","Leuciscus","vorax","Y",NA,NA,"itis","Leuciscidae"
"577","Mesopotamichthys sharpeyi","Mesopotamichthys","sharpeyi","Y",NA,NA,"itis","Cyprinidae"
"578","Odontamblyopus rubicundus","Odontamblyopus","rubicundus","Y",NA,NA,"itis","Gobiidae"
"579","Sillago sihama","Sillago","sihama","Y","Y",NA,"itis","Sillaginidae"
"580","Arius sinensis","Arius","sinensis","Y",NA,NA,"itis","Ariidae"
"581","Collichthys lucidus","Collichthys","lucidus","Y",NA,NA,"itis","Sciaenidae"
"582","Ilisha elongata","Ilisha","elongata","Y",NA,NA,"itis","Pristigasteridae"
"583","Thryssa kammalensis","Thryssa","kammalensis","Y",NA,NA,"itis","Engraulidae"
"584","Thryssa dussumieri","Thryssa","dussumieri","Y",NA,NA,"itis","Engraulidae"
"585","Larimichthys polyactis","Larimichthys","polyactis","Y",NA,NA,"itis","Sciaenidae"
"586","Coilia mystus","Coilia","mystus","Y",NA,NA,"itis","Engraulidae"
"587","Cynoglossus lida","Cynoglossus","lida","Y",NA,NA,"itis","Cynoglossidae"
"588","Nemipterus virgatus","Nemipterus","virgatus","Y",NA,NA,"itis","Nemipteridae"
"589","Siganus fuscescens","Siganus","fuscescens","Y",NA,NA,"itis","Siganidae"
"590","Branchiostegus albus","Branchiostegus","albus","Y",NA,NA,"itis","Malacanthidae"
"591","Leiognathus brevirostris","Leiognathus","brevirostris","Y",NA,NA,"itis","Leiognathidae"
"592","Trypauchen vagina","Trypauchen","vagina","Y",NA,NA,"itis","Gobiidae"
"593","Lateolabrax japonicus","Lateolabrax","japonicus","Y",NA,NA,"itis","Lateolabracidae"
"594","Cynoscion leiarchus","Cynoscion","leiarchus","Y",NA,NA,"itis","Sciaenidae"
"595","Lutjanus purpureus","Lutjanus","purpureus","Y",NA,NA,"itis","Lutjanidae"
"596","Ocyurus chrysurus","Ocyurus","chrysurus","Y","Y",NA,"itis","Lutjanidae"
"597","Oligoplites palometa","Oligoplites","palometa","Y",NA,NA,"itis","Carangidae"
"598","Seriola dumerili","Seriola","dumerili","Y",NA,NA,"itis","Carangidae"
"599","Rachycentron canadum","Rachycentron","canadum","Y",NA,NA,"itis","Rachycentridae"
"600","Mycteroperca bonaci","Mycteroperca","bonaci","Y",NA,NA,"itis","Serranidae"
"601","Epinephelus marginatus","Epinephelus","marginatus","Y",NA,NA,"itis","Serranidae"
"602","Bathytoshia centroura","Bathytoshia","centroura","Y",NA,NA,"itis",NA
"603","Coryphaena hippurus","Coryphaena","hippurus","Y",NA,NA,"itis","Coryphaenidae"
